Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,244,0,4772,133,163,1,20,-0.333,1,0,1,0,0,0
1,4,4045,0,4997,109,150,2,18,1,0,0,2,0,0,0
1,4,3510,0,106144,2585,3958,11,20,0,1,0,2,0,171,0
1,4,382,0,54822,219,623,1,18,-1,1,0,1,1,39,0
1,4,3,0,4,0,1,0,18,1,1,0,14,0,0,0
1,4,617,0,148727,1135,1366,19,24,0,1,0,1,0,13,0
1,4,586,0,15622,59,222,2,18,-1,1,0,1,1,39,0
1,4,82,0,1105,44,90,0,7,0,0,0,0,0,0,0
1,4,583,0,1763,81,874,0,11,0,1,1,1,1,54,0
1,4,3736,0,6330,191,89,2,4,0,1,0,1,0,0,0
1,4,534,0,57003,13847,7,14,10,0,1,0,1,0,0,0
1,4,432,0,43728,319,1718,4,18,-1,1,0,1,1,39,0
1,4,771,0,33526,200,983,0,18,-1,1,0,1,1,39,0
1,4,201,0,18489,155,588,0,12,0,1,0,1,0,26,0
1,4,1465,0,55263,498,507,1,17,0,1,0,3,0,9,0
1,4,782,0,5485,99,297,0,21,-1,1,0,3,0,0,0
1,4,768,0,85685,3683,2810,34,5,0,1,0,0,0,0,5
1,4,244,0,3365,14,115,0,19,0,1,0,1,0,0,0
1,4,1306,0,73877,1505,327,6,6,0,0,0,0,2,0,0
1,4,391,0,87,5,185,0,26,0,1,0,1,0,7,0
1,4,5137,0,88660,659,4952,41,18,1,1,3,3,0,2,0
1,4,1514,0,48103,239,271,2,12,0,1,0,1,0,26,0
1,4,2207,0,60048,1365,2130,30,10,0,1,2,1,1,7,0
1,4,1426,0,332817,1706,5001,10,18,-1,1,0,1,1,39,0
1,4,934,0,123,3,36,0,21,0,1,0,13,0,0,0
1,4,266,0,466,28,320,2,16,0,1,0,2,2,31,0
1,4,655,0,134,9,296,0,15,1,1,0,1,0,0,0
1,4,1230,0,36628,442,155,0,18,-1,1,0,1,1,39,0
1,4,3753,0,151433,254,188,14,22,0,1,0,1,0,81,0
1,4,3510,0,106144,2585,3958,11,24,0,1,0,1,0,163,0
1,4,4690,0,1880,126,309,0,28,1,0,28,0,0,0,0
1,4,1344,0,4549,30,165,0,25,0,1,0,1,0,1057,0
1,4,2686,0,86947,1326,1186,7,14,0,1,0,1,0,0,0
1,4,2124,0,15705,262,753,7,18,1,1,3,3,0,2,0
1,4,2571,0,13259,182,303,0,12,0,1,0,1,1,34,0
1,4,575,0,2318,17,73,0,20,0,1,0,2,0,171,0
1,4,382,0,54822,219,623,1,12,0,1,0,1,1,34,0
1,4,800,0,51935,160,176,2,18,-1,1,0,1,1,39,0
1,4,4674,0,35251,56,666,2,15,0,1,0,1,1,120,0
1,4,4674,0,35251,56,666,2,8,0,1,0,1,1,50,0
1,4,4814,0,445655,1461,1940,59,8,0,1,0,1,0,0,0
1,4,1445,0,422940,750,4989,3,18,-1,1,0,1,1,39,0
1,4,1335,0,1392,8,109,0,37,0.333,1,0,3,0,0,0
1,4,527,0,7671,789,3026,4,20,0,1,0,2,0,171,0
1,4,834,0,48064,358,128,2,20,0,1,0,2,0,171,0
1,4,3286,0,12054,536,367,5,53,0,1,0,2,0,0,0
1,4,3559,0,140952,9996,5687,202,22,0,1,0,1,0,81,0
1,4,1975,0,30665,133,465,1,20,0,1,0,2,0,171,0
1,4,4397,0,301085,3016,5000,61,7,0,1,0,1,1,27,0
1,4,500,0,16592,1561,391,3,7,0,1,0,2,0,0,0
1,4,665,0,35830,700,4990,7,18,-1,1,0,1,1,39,0
1,4,665,0,35830,700,4990,7,12,0,1,0,1,1,34,0
1,4,4645,0,12329,566,293,26,19,0,1,0,1,0,0,1
1,4,839,1,29318,56065,1455,133,30,1,0,1,0,2,0,4
1,4,5085,0,74824,637,1573,7,8,0,1,0,1,0,5,0
1,4,386,0,618,109,50,0,35,1,0,6,3,0,0,1
1,4,4670,0,379912,1956,969,116,8,0,1,0,2,0,0,0
1,4,922,0,1765,73,1317,1,18,-1,1,0,1,1,39,0
1,4,785,0,41625,1191,4975,4,18,-1,1,0,1,1,39,0
1,4,2830,0,69999,234,286,2,18,-1,1,0,1,1,39,0
1,4,18,0,67,0,2,0,15,0,1,0,12,0,0,0
1,4,361,0,2870,41,187,0,2,0,1,0,1,0,0,0
1,4,4980,0,270735,3759,1391,45,20,0,1,0,2,0,171,0
1,4,4005,0,723,166,438,183,38,1,1,0,1,0,0,0
1,4,403,0,77897,2440,419,9,4,0,1,0,4,0,0,0
1,4,983,0,210319,3684,3096,15,13,0,1,0,2,2,1041,0
1,4,292,0,26515,592,283,2,16,-1,0,0,0,0,0,0
1,4,606,0,5573,19,333,0,11,0,1,1,1,1,54,0
1,4,17,0,32,1833,3,0,4,0,1,0,2,0,0,0
1,4,1656,0,6863,203,312,0,47,0,1,0,0,0,0,0
4,4,4456,1,194758,84318,805,0,33,1,0,0,2,1,0,3
3,4,5232,1,14464,121868,781,767,25,1,0,0,0,1,0,12
3,4,4456,1,194758,84318,805,0,38,1,0,0,2,1,3,20
2,4,4884,1,53732,89180,142,820,29,1,0,0,0,1,2,4
2,4,4062,1,7624,17886,101,29,41,0,0,0,0,1,2,2
2,4,4948,1,1040389,17614461,14,14481,19,0,1,1,1,0,9324,0
2,4,2981,1,12950,31255,20,55,36,0,0,3,0,1,15,44
2,4,4052,1,66009,19022,2097,27,45,1,0,0,0,1,2,7
2,4,4879,1,350013,969152,139,2605,32,1,0,0,0,1,6,73
1,4,4952,1,20272,15719,2849,447,23,1,0,2,2,1,1,2
4,4,3557,1,152779,9932,666,269,46,0.333,1,0,0,1,0,2
4,4,4950,1,19197,74497,984,884,31,1,0,0,0,4,0,0
3,4,2893,1,7175,5363,2628,34,45,1,0,0,0,1,0,1
4,4,5022,1,61779,20602,1718,317,39,0.5,0,0,0,1,6,193
4,4,4958,1,195353,192325,2032,1323,36,1,0,0,0,1,0,3
3,4,5139,1,15423,13200,1627,358,22,1,1,0,1,0,1,0
3,4,5221,1,54633,65988,1425,813,33,1,0,0,2,1,1,9
3,4,2914,1,35468,29323,292,149,46,1,0,1,0,1,1,3
2,4,4958,1,195353,192325,2032,1323,36,1,0,0,0,1,0,3
1,4,4741,1,40829,43650,8649,834,30,1,0,2,0,1,1,5
1,4,1956,0,105885,454,920,8,20,1,1,1,1,0,75,0
1,4,3953,0,49746,2281,4586,55,19,1,1,0,1,0,179,0
1,4,4198,0,241706,1550,3007,19,20,1,1,1,1,0,328,0
1,4,100,0,41,0,6,0,18,0,1,1,1,0,1027,0
1,4,1295,0,19872,1147,1857,11,18,0,1,1,1,0,195,0
1,4,2478,0,6027,105,1126,0,18,0,1,1,1,0,1027,0
